account no,transaction id,time stamp,sent amount,recieved amount,total time duration of transaction,counterparty address,gas fee,transaction type,account balance after transaction,is_abnormal_label
0x71C934B491a27e3160a2418e950821b01c38a101,0x155b756e29257e9d6499e96de,2026-03-03 08:00:00,0.0,6.6824,27.6,0xExchDeposit658,0.0012,DEPOSIT_FROM_EXCHANGE,11.9325,0
0x8a23049182c41031920aa9021894012903102003,0x220b723c6ac9228e7beb9ae56e,2026-03-06 08:00:00,0.0,3.4895,27.0,0xExchDeposit653,0.0012,DEPOSIT_FROM_EXCHANGE,13.1158,0
0x3f5A109281bcD901284019280192a01920192004,0x1129d16d2a63a37c1c65845b46,2026-03-06 12:16:00,0.0,3.8376,17.6,0xUniswapV3RouterPool,0.0108,DEX_TOKEN_SWAP_SELL,28.8268,0
0x3f5A109281bcD901284019280192a01920192004,0x38138393b7091c9a3c40137a4,2026-03-06 15:17:00,1.5987,0.0,8.5,0xUniswapV3RouterPool,0.0072,DEX_TOKEN_SWAP_BUY,27.2209,0
0x3f5A109281bcD901284019280192a01920192004,0x1937669fd76e338962e288ec17,2026-03-06 19:57:00,0.0,2.3946,10.7,0xUniswapV3RouterPool,0.0089,DEX_TOKEN_SWAP_SELL,29.6066,0
0x8a23049182c41031920aa9021894012903102003,0x247dc8ccd3a17103891f7cfad0,2026-03-06 21:10:00,0.0,0.8822,40.0,0xPeerTransfer7396,0.00108,PEER_TRANSFER_IN,13.9969,0
0x3f5A109281bcD901284019280192a01920192004,0xa209edc07c09372d608004b50,2026-03-06 23:04:00,3.9434,0.0,15.7,0xUniswapV3RouterPool,0.0066,DEX_TOKEN_SWAP_BUY,25.6566,0
0x71C934B491a27e3160a2418e950821b01c38a101,0x761faa9826441268fa02801a6,2026-03-06 23:32:00,1.1024,0.0,15.1,0xMerchant9928,0.0012,RETAIL_PAYMENT,10.8289,0
0x3f5A109281bcD901284019280192a01920192004,0x773700ec18791666f08e66ca2,2026-03-07 02:38:00,1.3252,0.0,19.6,0xUniswapV3RouterPool,0.0054,DEX_TOKEN_SWAP_BUY,24.326,0
0x3f5A109281bcD901284019280192a01920192004,0x344fa68f9334419c27d9cd9b63,2026-03-07 07:05:00,3.6985,0.0,19.8,0xUniswapV3RouterPool,0.004,DEX_TOKEN_SWAP_BUY,20.6235,0
0x3f5A109281bcD901284019280192a01920192004,0x886651afbe8c21978c5ed33d0,2026-03-07 09:27:00,3.1583,0.0,19.1,0xUniswapV3RouterPool,0.0078,DEX_TOKEN_SWAP_BUY,17.4574,0
0x3f5A109281bcD901284019280192a01920192004,0x214996db7de562d90f65023d4f,2026-03-07 11:52:00,1.901,0.0,18.2,0xUniswapV3RouterPool,0.0095,DEX_TOKEN_SWAP_BUY,15.5469,0
0x3f5A109281bcD901284019280192a01920192004,0x1fd24bb33be491f70163faf904,2026-03-07 15:15:00,0.0,3.3273,14.7,0xUniswapV3RouterPool,0.0047,DEX_TOKEN_SWAP_SELL,18.8695,0
0x3f5A109281bcD901284019280192a01920192004,0x35909bddef56c10d27f79883a6,2026-03-07 19:14:00,0.0,1.0014,11.6,0xUniswapV3RouterPool,0.0079,DEX_TOKEN_SWAP_SELL,19.863,0
0x3f5A109281bcD901284019280192a01920192004,0x213274648c8412acdad9a1bd9b,2026-03-07 22:25:00,0.0,3.3647,11.9,0xUniswapV3RouterPool,0.007,DEX_TOKEN_SWAP_SELL,23.2207,0
0x3f5A109281bcD901284019280192a01920192004,0x38a150631ccc7108b6cce23831,2026-03-08 03:12:00,0.0,3.1674,11.4,0xUniswapV3RouterPool,0.009,DEX_TOKEN_SWAP_SELL,26.3791,0
0x3f5A109281bcD901284019280192a01920192004,0x14b74d0c4d6c4198d1bcb69640,2026-03-08 04:44:00,1.7345,0.0,10.4,0xUniswapV3RouterPool,0.0032,DEX_TOKEN_SWAP_BUY,24.6414,0
0x3f5A109281bcD901284019280192a01920192004,0xa586d535f7a92035685106764,2026-03-08 09:32:00,0.0,2.3439,14.9,0xUniswapV3RouterPool,0.0095,DEX_TOKEN_SWAP_SELL,26.9758,0
