Address,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max val sent,avg val received,avg val sent,total ether received,total Ether sent,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total Ether sent,FLAG
0x99087894c4f03bb3b,0.112,0.069,38.6,5,3,1,1,2,10.0,17347.61,7702.33,4009.0,22610.07,21506.29,13.31,13,208681451.63,87045689.31,1
0x3f0d3032d0e06787c,166.92,487.87,282612.0,200,79,0,49,49,0.05,11.7274,3.8513,4.3488,151.51,345.62,18.9101,107,60088.73,47881.16,0
0xEE0a4638a9b0a994c,0.96,2621.46,2578.5,5,123,0,151,1,0.01,21.2517,0.6573,29.9542,115.95,108.96,0.0025,28,3720.91,1288.79,1
0x3f055223d0e0c5170,368.15,507.47,327672.3,104,172,0,28,46,0.05,21.6986,5.9298,3.4605,227.26,259.82,10.5517,57,47076.32,62793.59,0
0x3f045841d0e0bc29e,320.86,554.18,195057.8,84,106,0,57,54,0.05,12.2552,5.3748,2.1439,588.55,483.09,13.4271,69,44120.18,68040.45,0
0x71278973a0b0ba821,3794.2,2819.52,467381.9,27,46,0,29,13,0.01,1.1355,0.8984,1.4707,21.1,15.48,3.9775,18,438.27,1443.55,0
0x71164072a0b0a2022,4500.21,4841.12,249948.2,23,25,1,27,22,0.01,3.5176,1.5132,0.9818,35.1,27.87,13.6162,12,633.83,1428.1,0
0x99052388c4f0f1bea,0.081,0.066,40.7,8,4,1,2,1,10.0,13451.58,6423.78,7836.5,18140.25,17199.39,25.0,11,64639184.75,170689718.68,1
0x710a5973a0b0b57f1,3913.68,2683.38,497783.0,21,36,0,17,14,0.01,3.8838,0.8929,1.1138,30.35,29.64,4.5065,7,1959.9,755.78,0
0x71008270a0b0bc453,6704.29,3874.37,339463.4,20,38,0,11,19,0.01,4.7542,0.4012,1.7883,34.7,28.8,1.0989,18,1097.07,629.8,0
0x71123082a0b09f176,1427.13,2139.7,437950.1,23,39,0,13,11,0.01,1.7098,1.601,1.5103,49.62,22.03,6.2083,8,1203.03,1307.32,0
0x711e9905a0b018ac6,2932.47,1688.08,230998.9,27,41,0,24,9,0.01,3.231,1.3385,1.1467,25.15,19.47,13.5951,3,564.27,772.46,0
0xEE0d1525a9b0edfed,1.78,1943.46,986.7,3,141,0,129,1,0.01,44.3012,0.615,41.0737,132.77,53.24,0.0134,11,4431.95,1036.12,1
0x71211009a0b02c7a4,1380.25,4957.83,228941.5,31,39,0,15,10,0.01,2.3955,1.8872,1.5459,48.6,12.23,11.2321,10,489.5,599.88,0
0x72054610b5d03973f,2.9,5.15,10841.7,73,87,0,27,1,10.0,10.0,10.0,10.0,510.0,340.0,0.036,0,0.0,0.0,1
0x71047278a0b0da768,4739.79,2189.77,125423.3,23,40,0,10,10,0.01,1.4784,1.5412,1.4412,32.45,34.21,7.9131,10,1450.26,210.79,0
0x99011281c4f03f1bc,0.132,0.053,14.9,6,2,1,1,1,10.0,5623.59,4335.09,11779.67,24407.02,8033.73,47.83,7,244619549.61,166022445.94,1
0x99028351c4f01a04a,0.103,0.137,12.7,11,3,1,2,2,10.0,15993.48,4461.44,4595.14,20424.1,10596.98,15.56,11,101061304.95,182326470.07,1
0x710c1980a0b059e76,2610.85,2838.18,249074.7,24,47,0,24,9,0.01,2.0167,0.8725,0.7838,43.95,12.65,10.9248,8,657.82,1223.57,0
0x711f4812a0b07f418,2423.36,1227.49,161143.7,22,30,0,18,10,0.01,3.098,1.0566,1.7736,14.48,21.53,14.5726,5,110.07,1463.85,0
0x3f0f8878d0e0ec0d3,179.24,440.95,354591.2,133,186,0,29,67,0.05,8.5306,2.4922,2.0017,500.81,294.06,11.7353,86,25142.68,43205.18,0
0x72037780b5d060346,5.85,7.94,3669.1,48,97,0,66,1,10.0,10.0,10.0,10.0,610.0,670.0,0.389,0,0.0,0.0,1
