account no,tansaction id,time stamp,sent amount,recieved amount,total time duration of transaction
0x71C934B491a27e3160a2418e950821b01c38a101,0x39a04473b18562d7a91823c10491029381029384,2026-03-02 08:00:00,0.0,8.5,24.5
0x55d14285a910bf2350a45920042c019918231002,0x81b0412850912fa91823c1049102938102938411,2026-03-03 08:00:00,0.0,5.0,21.0
0x71C934B491a27e3160a2418e950821b01c38a101,0x30704d9a50de8a7671ad113f844f2b7b90,2026-03-05 10:00:00,0.298,0.0,17.6
0x55d14285a910bf2350a45920042c019918231002,0x791eb6ed2fe6d5042e12f37592d52a72cc,2026-03-07 11:00:00,0.175,0.0,32.0
0x71C934B491a27e3160a2418e950821b01c38a101,0x433dab2f95156b7419f827976189d28f3,2026-03-08 19:00:00,0.266,0.0,20.8
0x55d14285a910bf2350a45920042c019918231002,0x283d92cc0896ee58aaa9e19d2dc8437acf,2026-03-10 16:00:00,0.246,0.0,26.5
0x71C934B491a27e3160a2418e950821b01c38a101,0x68e2a4eb5d31730adc1a63291bb6d91389,2026-03-11 20:00:00,0.581,0.0,20.5
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x4e37d498aee22640ff46ec7e9fa1c3a6f,2026-03-11 22:02:37,0.0,2.241,5.8
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x21e9cdf02b54f00b8d16c2c044109fbad1,2026-03-11 22:03:51,0.0,1.148,4.1
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x2c1102aa2fc07de4cbf3729fecf13f7cb8,2026-03-11 22:06:15,0.0,2.394,4.5
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x516bdde859fb39b5d3100dbbad487f9b4,2026-03-11 22:08:24,0.0,0.757,6.9
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x5ae0ffb2692882815a103360579a898efb,2026-03-11 22:09:45,0.0,1.96,5.2
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x606b5c7c27a279fc21bbe21b907012bc71,2026-03-11 22:12:15,0.0,2.299,6.7
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0xfed6725b9388b164005c2922aa715a662,2026-03-11 22:13:34,0.0,0.96,5.3
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x15dcb566abac1b01259e07b1df843db26,2026-03-11 22:15:19,0.0,2.219,4.4
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x28a839812ecd54c4220a7e26f9a857c33,2026-03-11 22:16:41,0.0,1.947,9.3
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x7498294e38e0e69dcd19f11ded78af54f2,2026-03-11 22:19:01,0.0,0.689,8.0
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x7bce5935dbaa10a3dffbc926bcb1ef71a,2026-03-11 22:21:33,0.0,1.847,9.9
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x38aa6d63b01990812303a159922c734e27,2026-03-11 22:22:41,0.0,0.883,7.2
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x48738631d8906cff91276a824fcd5627c,2026-03-11 22:24:13,0.0,1.386,9.2
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x526e21b9fc6c347f2f7b86a0fe6802770,2026-03-11 22:25:21,0.0,2.438,9.6
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x4ad949821c705090ac07a103891f7cfad0,2026-03-11 22:26:36,0.0,1.258,9.9
0xEE41B92b70c8a1476b3210923fae8301726a45b8,0x7198908ff16bce4e458fc22ce0d9787ccd,2026-03-11 22:27:46,24.416,0.0,2.5
0x55d14285a910bf2350a45920042c019918231002,0x1f1b85f9dfccbc5933b83355d14f9d3af8,2026-03-14 21:00:00,0.403,0.0,22.5
0x71C934B491a27e3160a2418e950821b01c38a101,0xe111fa5944397036d58b325d83959aec4,2026-03-15 01:00:00,0.496,0.0,21.9
0x991C0A4f29103192081029301928019280192005,0x66660881904d7ea0617f2346fd058d04c3,2026-03-15 11:15:00,0.0,5000.0,1.2
0x991C0A4f29103192081029301928019280192005,0x545f8e4592e7c9fd4057d33a99b9eaa5e1,2026-03-15 11:15:35,5000.0,0.0,1.5
0x991C0A4f29103192081029301928019280192005,0x258ab436f90c51d967f79139df5c6f4b52,2026-03-15 11:15:55,0.0,8450.0,1.4
0x991C0A4f29103192081029301928019280192005,0x575eb2ac78fc498fd564628628ccd38585,2026-03-15 11:16:20,5004.5,0.0,1.1
0x991C0A4f29103192081029301928019280192005,0x35605db4a2088b09aea4b8e4b1f1ca22b,2026-03-15 11:16:50,3445.0,0.0,2.0
0x71C934B491a27e3160a2418e950821b01c38a101,0x3ddd9338cfdfebb2a73ed1ca8b293ca797,2026-03-16 07:00:00,0.793,0.0,30.1
0x71C934B491a27e3160a2418e950821b01c38a101,0x1d366a5150b73169cde66aba37161e113,2026-03-17 19:00:00,0.586,0.0,35.7
0x55d14285a910bf2350a45920042c019918231002,0x405bab13136de86d7b87513b886d260c97,2026-03-19 02:00:00,0.599,0.0,20.4
0x71C934B491a27e3160a2418e950821b01c38a101,0x676b84d08a01a34cd59bf89df22489dd2,2026-03-21 01:00:00,0.663,0.0,34.3
0x55d14285a910bf2350a45920042c019918231002,0x7b74b27de9e83627af08af7752c8c3735,2026-03-22 04:00:00,0.432,0.0,31.5
0x71C934B491a27e3160a2418e950821b01c38a101,0x3de4135aa07be7ed1dfb222b3d57a38739,2026-03-22 05:00:00,0.645,0.0,24.1
0x71C934B491a27e3160a2418e950821b01c38a101,0x2f687c75f6691d6a240ae2f289bf773ad8,2026-03-24 11:00:00,0.25,0.0,30.9
0x55d14285a910bf2350a45920042c019918231002,0x3e1507e4ee932b1435a10278c3884c5e02,2026-03-25 10:00:00,0.263,0.0,27.4
0x55d14285a910bf2350a45920042c019918231002,0x647e639221039598139b9280cef2fbbefd,2026-03-27 17:00:00,0.488,0.0,31.1
0x71C934B491a27e3160a2418e950821b01c38a101,0x4867745a38bdcdfabedcb16f60719e3df7,2026-03-27 23:00:00,0.893,0.0,31.0
0x55d14285a910bf2350a45920042c019918231002,0x217aa8b1b9387ec22d3085e4584a17ca3,2026-03-30 19:00:00,0.579,0.0,32.9
